Year,Month,Location,Item,Category,UOM,Price,Opening Stock (Qty),Purchases (Qty),Consumption (Qty),Ideal Closing Stock,Actual Closing Stock,Ideal Closing stock Value,Actual Closing stock Value,Variance
2022,November,Panaji,Ginger,Vegetables,Liters,236.58,100,66,143,23,23,5441.34,5441.34,0
2022,December,Panaji,Ginger,Vegetables,Liters,234.93,23,43,27,39,40,9162.27,9397.2,234.93
2023,January,Panaji,Ginger,Vegetables,Liters,228.99,40,78,104,14,14,3205.86,3205.86,0
2023,February,Panaji,Ginger,Vegetables,Liters,238.27,14,39,32,21,20,5003.67,4765.4,-238.27
2023,March,Panaji,Ginger,Vegetables,Liters,230.02,20,43,28,35,37,8050.7,8510.74,460.04
2023,April,Panaji,Ginger,Vegetables,Liters,241.5,37,60,69,28,28,6762,6762,0
2023,May,Panaji,Ginger,Vegetables,Liters,241.45,28,67,90,5,4,1207.25,965.8,-241.45
2023,June,Panaji,Ginger,Vegetables,Liters,238.46,4,50,35,19,21,4530.74,5007.66,476.92
2023,July,Panaji,Ginger,Vegetables,Liters,225.13,21,42,51,12,12,2701.56,2701.56,0
2023,August,Panaji,Ginger,Vegetables,Liters,234.62,12,95,27,80,80,18769.6,18769.6,0
2023,September,Panaji,Ginger,Vegetables,Liters,233.79,80,74,149,5,4,1168.95,935.16,-233.79
2023,October,Panaji,Ginger,Vegetables,Liters,240.9,4,32,33,3,4,722.7,963.6,240.9
2023,November,Panaji,Ginger,Vegetables,Liters,236.18,4,62,51,15,17,3542.7,4015.06,472.36
2023,December,Panaji,Ginger,Vegetables,Liters,235.69,17,85,22,80,81,18855.2,19090.89,235.69
2024,January,Panaji,Ginger,Vegetables,Liters,237.08,81,60,100,41,41,9720.28,9720.28,0
2024,February,Panaji,Ginger,Vegetables,Liters,224.5,41,30,67,4,5,898,1122.5,224.5
2024,March,Panaji,Ginger,Vegetables,Liters,219.09,5,95,56,44,44,9639.96,9639.96,0
2024,April,Panaji,Ginger,Vegetables,Liters,229.69,44,91,40,95,94,21820.55,21590.86,-229.69
2024,May,Panaji,Ginger,Vegetables,Liters,241.26,94,67,133,28,29,6755.28,6996.54,241.26
2024,June,Panaji,Ginger,Vegetables,Liters,234.61,29,33,58,4,6,938.44,1407.66,469.22
2024,July,Panaji,Ginger,Vegetables,Liters,235.85,6,44,45,5,5,1179.25,1179.25,0
2024,August,Panaji,Ginger,Vegetables,Liters,230.36,5,83,57,31,31,7141.16,7141.16,0
2024,September,Panaji,Ginger,Vegetables,Liters,230.87,31,98,83,46,46,10620.02,10620.02,0
2024,October,Panaji,Ginger,Vegetables,Liters,233.55,46,39,31,54,54,12611.7,12611.7,0
2024,November,Panaji,Ginger,Vegetables,Liters,236.87,54,73,42,85,84,20133.95,19897.08,-236.87
2024,December,Panaji,Ginger,Vegetables,Liters,232.91,84,66,88,62,62,14440.42,14440.42,0
2022,January,Khorlim,Ginger,Vegetables,Liters,241.07,139,99,93,145,145,34955.15,34955.15,0
2022,February,Khorlim,Ginger,Vegetables,Liters,234.99,145,60,119,86,84,20209.14,19739.16,-469.98
2022,March,Khorlim,Ginger,Vegetables,Liters,235.17,84,62,62,84,84,19754.28,19754.28,0
2022,April,Khorlim,Ginger,Vegetables,Liters,238.9,84,32,20,96,96,22934.4,22934.4,0
2022,May,Khorlim,Ginger,Vegetables,Liters,231.39,96,77,152,21,21,4859.19,4859.19,0
2022,June,Khorlim,Ginger,Vegetables,Liters,228.24,21,51,68,4,6,912.96,1369.44,456.48
2022,July,Khorlim,Ginger,Vegetables,Liters,223.07,6,82,74,14,14,3122.98,3122.98,0
2022,August,Khorlim,Ginger,Vegetables,Liters,235.23,14,98,107,5,6,1176.15,1411.38,235.23
2022,September,Khorlim,Ginger,Vegetables,Liters,219.03,6,88,68,26,25,5694.78,5475.75,-219.03
2022,October,Khorlim,Ginger,Vegetables,Liters,234.31,25,32,43,14,15,3280.34,3514.65,234.31
2022,November,Khorlim,Ginger,Vegetables,Liters,234.46,15,66,73,8,6,1875.68,1406.76,-468.92
2022,December,Khorlim,Ginger,Vegetables,Liters,231.99,6,94,33,67,65,15543.33,15079.35,-463.98
2023,January,Khorlim,Ginger,Vegetables,Liters,225.05,65,91,148,8,10,1800.4,2250.5,450.1
2023,February,Khorlim,Ginger,Vegetables,Liters,227.33,10,49,40,19,20,4319.27,4546.6,227.33
2023,March,Khorlim,Ginger,Vegetables,Liters,235.72,20,98,93,25,25,5893,5893,0
2023,April,Khorlim,Ginger,Vegetables,Liters,239.6,25,68,81,12,12,2875.2,2875.2,0
2023,May,Khorlim,Ginger,Vegetables,Liters,233.51,12,71,77,6,6,1401.06,1401.06,0
2023,June,Khorlim,Ginger,Vegetables,Liters,235.77,6,68,32,42,42,9902.34,9902.34,0
2023,July,Khorlim,Ginger,Vegetables,Liters,226.26,42,45,52,35,33,7919.1,7466.58,-452.52
2023,August,Khorlim,Ginger,Vegetables,Liters,239.46,33,88,93,28,28,6704.88,6704.88,0
2023,September,Khorlim,Ginger,Vegetables,Liters,227.44,28,72,46,54,52,12281.76,11826.88,-454.88
2023,October,Khorlim,Ginger,Vegetables,Liters,238.53,52,99,131,20,20,4770.6,4770.6,0
2023,November,Khorlim,Ginger,Vegetables,Liters,227.01,20,36,36,20,21,4540.2,4767.21,227.01
2023,December,Khorlim,Ginger,Vegetables,Liters,234.08,21,33,45,9,10,2106.72,2340.8,234.08
2024,January,Khorlim,Ginger,Vegetables,Liters,220.07,10,34,24,20,20,4401.4,4401.4,0
2024,February,Khorlim,Ginger,Vegetables,Liters,219.42,20,67,20,67,67,14701.14,14701.14,0
2024,March,Khorlim,Ginger,Vegetables,Liters,223.99,67,79,131,15,16,3359.85,3583.84,223.99
2024,April,Khorlim,Ginger,Vegetables,Liters,236.51,16,62,28,50,48,11825.5,11352.48,-473.02
2024,May,Khorlim,Ginger,Vegetables,Liters,230.47,48,62,92,18,19,4148.46,4378.93,230.47
2024,June,Khorlim,Ginger,Vegetables,Liters,227,19,66,23,62,62,14074,14074,0
2024,July,Khorlim,Ginger,Vegetables,Liters,231.58,62,60,114,8,9,1852.64,2084.22,231.58
2024,August,Khorlim,Ginger,Vegetables,Liters,237.93,9,97,45,61,59,14513.73,14037.87,-475.86
2024,September,Khorlim,Ginger,Vegetables,Liters,237.64,59,53,50,62,62,14733.68,14733.68,0
2024,October,Khorlim,Ginger,Vegetables,Liters,233.48,62,70,55,77,77,17977.96,17977.96,0
2024,November,Khorlim,Ginger,Vegetables,Liters,237.45,77,68,102,43,44,10210.35,10447.8,237.45
2024,December,Khorlim,Ginger,Vegetables,Liters,224.27,44,73,89,28,27,6279.56,6055.29,-224.27
2022,January,KTC,Ginger,Vegetables,Liters,220.81,108,69,104,73,74,16119.13,16339.94,220.81
2022,February,KTC,Ginger,Vegetables,Liters,220.93,74,38,31,81,80,17895.33,17674.4,-220.93
2022,March,KTC,Ginger,Vegetables,Liters,227.42,80,32,34,78,80,17738.76,18193.6,454.84
2022,April,KTC,Ginger,Vegetables,Liters,222.06,80,53,30,103,101,22872.18,22428.06,-444.12
2022,May,KTC,Ginger,Vegetables,Liters,223.4,101,86,140,47,45,10499.8,10053,-446.8
2022,June,KTC,Ginger,Vegetables,Liters,219.06,45,65,31,79,79,17305.74,17305.74,0
2022,July,KTC,Ginger,Vegetables,Liters,233.87,79,45,59,65,65,15201.55,15201.55,0
2022,August,KTC,Ginger,Vegetables,Liters,231.97,65,71,76,60,59,13918.2,13686.23,-231.97
2022,September,KTC,Ginger,Vegetables,Liters,235,59,37,37,59,57,13865,13395,-470
2022,October,KTC,Ginger,Vegetables,Liters,223.42,57,95,103,49,48,10947.58,10724.16,-223.42
2022,November,KTC,Ginger,Vegetables,Liters,230.76,48,68,108,8,6,1846.08,1384.56,-461.52
2022,December,KTC,Ginger,Vegetables,Liters,227.45,6,59,29,36,38,8188.2,8643.1,454.9
2023,January,KTC,Ginger,Vegetables,Liters,232.33,38,72,52,58,58,13475.14,13475.14,0
2023,February,KTC,Ginger,Vegetables,Liters,220.52,58,48,88,18,18,3969.36,3969.36,0
2023,March,KTC,Ginger,Vegetables,Liters,233.09,18,53,25,46,47,10722.14,10955.23,233.09
2023,April,KTC,Ginger,Vegetables,Liters,229.5,47,33,77,3,3,688.5,688.5,0
2023,May,KTC,Ginger,Vegetables,Liters,238.98,3,69,41,31,31,7408.38,7408.38,0
2023,June,KTC,Ginger,Vegetables,Liters,225.98,31,68,58,41,39,9265.18,8813.22,-451.96
2023,July,KTC,Ginger,Vegetables,Liters,231.69,39,50,44,45,43,10426.05,9962.67,-463.38
2023,August,KTC,Ginger,Vegetables,Liters,227.69,43,54,45,52,53,11839.88,12067.57,227.69
2023,September,KTC,Ginger,Vegetables,Liters,238.93,53,63,108,8,8,1911.44,1911.44,0
2023,October,KTC,Ginger,Vegetables,Liters,222.57,8,44,50,2,2,445.14,445.14,0
2023,November,KTC,Ginger,Vegetables,Liters,241.43,2,39,38,3,3,724.29,724.29,0
2023,December,KTC,Ginger,Vegetables,Liters,240.21,3,61,30,34,36,8167.14,8647.56,480.42
2024,January,KTC,Ginger,Vegetables,Liters,240.71,36,97,67,66,66,15886.86,15886.86,0
2024,February,KTC,Ginger,Vegetables,Liters,227.54,66,62,23,105,105,23891.7,23891.7,0
2024,March,KTC,Ginger,Vegetables,Liters,228.33,105,82,145,42,44,9589.86,10046.52,456.66
2024,April,KTC,Ginger,Vegetables,Liters,228.99,44,77,55,66,64,15113.34,14655.36,-457.98
2024,May,KTC,Ginger,Vegetables,Liters,240.25,64,73,78,59,61,14174.75,14655.25,480.5
2024,June,KTC,Ginger,Vegetables,Liters,222.44,61,71,124,8,7,1779.52,1557.08,-222.44
2024,July,KTC,Ginger,Vegetables,Liters,219.1,7,82,59,30,29,6573,6353.9,-219.1
2024,August,KTC,Ginger,Vegetables,Liters,239.3,29,51,76,4,4,957.2,957.2,0
2024,September,KTC,Ginger,Vegetables,Liters,238.48,4,57,36,25,26,5962,6200.48,238.48
2024,October,KTC,Ginger,Vegetables,Liters,230.44,26,46,57,15,15,3456.6,3456.6,0
2024,November,KTC,Ginger,Vegetables,Liters,235.63,15,82,28,69,69,16258.47,16258.47,0
2024,December,KTC,Ginger,Vegetables,Liters,226.83,69,55,96,28,28,6351.24,6351.24,0
2022,January,Margao,Ginger,Vegetables,Liters,230.11,97,59,97,59,61,13576.49,14036.71,460.22
2022,February,Margao,Ginger,Vegetables,Liters,225.32,61,98,139,20,20,4506.4,4506.4,0
2022,March,Margao,Ginger,Vegetables,Liters,240.79,20,55,45,30,28,7223.7,6742.12,-481.58
2022,April,Margao,Ginger,Vegetables,Liters,232.78,28,73,42,59,57,13734.02,13268.46,-465.56
2022,May,Margao,Ginger,Vegetables,Liters,232.29,57,94,21,130,129,30197.7,29965.41,-232.29
2022,June,Margao,Ginger,Vegetables,Liters,219.87,129,84,197,16,14,3517.92,3078.18,-439.74
2022,July,Margao,Ginger,Vegetables,Liters,234.42,14,42,22,34,34,7970.28,7970.28,0
2022,August,Margao,Ginger,Vegetables,Liters,240.45,34,69,93,10,9,2404.5,2164.05,-240.45
2022,September,Margao,Ginger,Vegetables,Liters,223.51,9,40,43,6,4,1341.06,894.04,-447.02
2022,October,Margao,Ginger,Vegetables,Liters,225.56,4,91,80,15,15,3383.4,3383.4,0
2022,November,Margao,Ginger,Vegetables,Liters,239.84,15,91,93,13,13,3117.92,3117.92,0
2022,December,Margao,Ginger,Vegetables,Liters,226.57,13,96,47,62,61,14047.34,13820.77,-226.57
2023,January,Margao,Ginger,Vegetables,Liters,240.55,61,50,26,85,84,20446.75,20206.2,-240.55
2023,February,Margao,Ginger,Vegetables,Liters,221.56,84,43,58,69,70,15287.64,15509.2,221.56
2023,March,Margao,Ginger,Vegetables,Liters,238.17,70,91,31,130,130,30962.1,30962.1,0
2023,April,Margao,Ginger,Vegetables,Liters,219.27,130,85,58,157,158,34425.39,34644.66,219.27
2023,May,Margao,Ginger,Vegetables,Liters,221.45,158,36,79,115,115,25466.75,25466.75,0
2023,June,Margao,Ginger,Vegetables,Liters,233.54,115,87,54,148,146,34563.92,34096.84,-467.08
2023,July,Margao,Ginger,Vegetables,Liters,229.73,146,68,103,111,111,25500.03,25500.03,0
2023,August,Margao,Ginger,Vegetables,Liters,240.82,111,31,63,79,80,19024.78,19265.6,240.82
2023,September,Margao,Ginger,Vegetables,Liters,230.67,80,84,59,105,105,24220.35,24220.35,0
2023,October,Margao,Ginger,Vegetables,Liters,238.24,105,53,47,111,112,26444.64,26682.88,238.24
2023,November,Margao,Ginger,Vegetables,Liters,231.82,112,80,169,23,21,5331.86,4868.22,-463.64
2023,December,Margao,Ginger,Vegetables,Liters,220.39,21,37,33,25,25,5509.75,5509.75,0
2024,January,Margao,Ginger,Vegetables,Liters,238.52,25,91,115,1,1,238.52,238.52,0
2024,February,Margao,Ginger,Vegetables,Liters,227.36,1,90,32,59,61,13414.24,13868.96,454.72
2024,March,Margao,Ginger,Vegetables,Liters,219.36,61,76,130,7,6,1535.52,1316.16,-219.36
2024,April,Margao,Ginger,Vegetables,Liters,226.73,6,81,44,43,45,9749.39,10202.85,453.46
2024,May,Margao,Ginger,Vegetables,Liters,236.27,45,40,54,31,31,7324.37,7324.37,0
2024,June,Margao,Ginger,Vegetables,Liters,232.45,31,76,69,38,40,8833.1,9298,464.9
2024,July,Margao,Ginger,Vegetables,Liters,227.05,40,96,39,97,98,22023.85,22250.9,227.05
2024,August,Margao,Ginger,Vegetables,Liters,235.74,98,49,43,104,102,24516.96,24045.48,-471.48
2024,September,Margao,Ginger,Vegetables,Liters,221.87,102,45,138,9,11,1996.83,2440.57,443.74
2024,October,Margao,Ginger,Vegetables,Liters,239.62,11,87,83,15,15,3594.3,3594.3,0
2024,November,Margao,Ginger,Vegetables,Liters,234.68,15,78,48,45,47,10560.6,11029.96,469.36
2024,December,Margao,Ginger,Vegetables,Liters,240.43,47,36,32,51,51,12261.93,12261.93,0
2022,January,Porvorim,Ginger,Vegetables,Liters,229.8,118,62,56,124,122,28495.2,28035.6,-459.6
2022,February,Porvorim,Ginger,Vegetables,Liters,220.08,122,59,60,121,121,26629.68,26629.68,0
2022,March,Porvorim,Ginger,Vegetables,Liters,225.93,121,68,43,146,145,32985.78,32759.85,-225.93
2022,April,Porvorim,Ginger,Vegetables,Liters,228.95,145,54,112,87,87,19918.65,19918.65,0
2022,May,Porvorim,Ginger,Vegetables,Liters,230.22,87,67,146,8,7,1841.76,1611.54,-230.22
2022,June,Porvorim,Ginger,Vegetables,Liters,228.29,7,79,23,63,63,14382.27,14382.27,0
2022,July,Porvorim,Ginger,Vegetables,Liters,229.9,63,43,20,86,86,19771.4,19771.4,0
2022,August,Porvorim,Ginger,Vegetables,Liters,233.74,86,88,80,94,92,21971.56,21504.08,-467.48
2022,September,Porvorim,Ginger,Vegetables,Liters,240.78,92,98,98,92,92,22151.76,22151.76,0
2022,October,Porvorim,Ginger,Vegetables,Liters,221.63,92,65,49,108,109,23936.04,24157.67,221.63
2022,November,Porvorim,Ginger,Vegetables,Liters,226.21,109,54,85,78,78,17644.38,17644.38,0
2022,December,Porvorim,Ginger,Vegetables,Liters,222.4,78,66,75,69,70,15345.6,15568,222.4
2023,January,Porvorim,Ginger,Vegetables,Liters,219.25,70,75,47,98,98,21486.5,21486.5,0
2023,February,Porvorim,Ginger,Vegetables,Liters,223.87,98,44,64,78,77,17461.86,17237.99,-223.87
2023,March,Porvorim,Ginger,Vegetables,Liters,240.25,77,70,84,63,63,15135.75,15135.75,0
2023,April,Porvorim,Ginger,Vegetables,Liters,237.85,63,57,57,63,61,14984.55,14508.85,-475.7
2023,May,Porvorim,Ginger,Vegetables,Liters,222.5,61,47,56,52,52,11570,11570,0
2023,June,Porvorim,Ginger,Vegetables,Liters,226.53,52,56,96,12,13,2718.36,2944.89,226.53
2023,July,Porvorim,Ginger,Vegetables,Liters,232.11,13,56,27,42,44,9748.62,10212.84,464.22
2023,August,Porvorim,Ginger,Vegetables,Liters,225.95,44,97,125,16,16,3615.2,3615.2,0
2023,September,Porvorim,Ginger,Vegetables,Liters,238.3,16,81,82,15,15,3574.5,3574.5,0
2023,October,Porvorim,Ginger,Vegetables,Liters,230.98,15,51,46,20,18,4619.6,4157.64,-461.96
2023,November,Porvorim,Ginger,Vegetables,Liters,227.08,18,86,51,53,55,12035.24,12489.4,454.16
2023,December,Porvorim,Ginger,Vegetables,Liters,225.08,55,84,25,114,116,25659.12,26109.28,450.16
2024,January,Porvorim,Ginger,Vegetables,Liters,234.45,116,61,147,30,30,7033.5,7033.5,0
2024,February,Porvorim,Ginger,Vegetables,Liters,223.66,30,87,110,7,7,1565.62,1565.62,0
2024,March,Porvorim,Ginger,Vegetables,Liters,230.26,7,46,24,29,31,6677.54,7138.06,460.52
2024,April,Porvorim,Ginger,Vegetables,Liters,223.92,31,30,20,41,41,9180.72,9180.72,0
2024,May,Porvorim,Ginger,Vegetables,Liters,226.91,41,67,23,85,85,19287.35,19287.35,0
2024,June,Porvorim,Ginger,Vegetables,Liters,223.48,85,34,111,8,9,1787.84,2011.32,223.48
2024,July,Porvorim,Ginger,Vegetables,Liters,219.03,9,77,82,4,5,876.12,1095.15,219.03
2024,August,Porvorim,Ginger,Vegetables,Liters,220.53,5,75,37,43,43,9482.79,9482.79,0
2024,September,Porvorim,Ginger,Vegetables,Liters,240.37,43,38,58,23,22,5528.51,5288.14,-240.37
2024,October,Porvorim,Ginger,Vegetables,Liters,230.14,22,67,46,43,45,9896.02,10356.3,460.28
2024,November,Porvorim,Ginger,Vegetables,Liters,225.95,45,49,81,13,12,2937.35,2711.4,-225.95
2024,December,Porvorim,Ginger,Vegetables,Liters,241.33,12,42,39,15,13,3619.95,3137.29,-482.66
2022,January,Siolim,Ginger,Vegetables,Liters,226.38,99,58,152,5,5,1131.9,1131.9,0
2022,February,Siolim,Ginger,Vegetables,Liters,228.66,5,94,89,10,12,2286.6,2743.92,457.32
2022,March,Siolim,Ginger,Vegetables,Liters,233.24,12,73,32,53,54,12361.72,12594.96,233.24
2022,April,Siolim,Ginger,Vegetables,Liters,235.15,54,67,32,89,90,20928.35,21163.5,235.15
2022,May,Siolim,Ginger,Vegetables,Liters,236.29,90,42,44,88,88,20793.52,20793.52,0
2022,June,Siolim,Ginger,Vegetables,Liters,220.85,88,99,165,22,22,4858.7,4858.7,0
2022,July,Siolim,Ginger,Vegetables,Liters,241.04,22,92,56,58,60,13980.32,14462.4,482.08
2022,August,Siolim,Ginger,Vegetables,Liters,224.81,60,41,71,30,28,6744.3,6294.68,-449.62
2022,September,Siolim,Ginger,Vegetables,Liters,237.35,28,73,43,58,56,13766.3,13291.6,-474.7
2022,October,Siolim,Ginger,Vegetables,Liters,227.61,56,38,41,53,53,12063.33,12063.33,0
2022,November,Siolim,Ginger,Vegetables,Liters,219.63,53,76,107,22,24,4831.86,5271.12,439.26
2022,December,Siolim,Ginger,Vegetables,Liters,222.09,24,62,34,52,52,11548.68,11548.68,0
2023,January,Siolim,Ginger,Vegetables,Liters,229.02,52,97,131,18,17,4122.36,3893.34,-229.02
2023,February,Siolim,Ginger,Vegetables,Liters,229.69,17,37,25,29,31,6661.01,7120.39,459.38
2023,March,Siolim,Ginger,Vegetables,Liters,226.09,31,31,41,21,22,4747.89,4973.98,226.09
2023,April,Siolim,Ginger,Vegetables,Liters,231.59,22,99,32,89,87,20611.51,20148.33,-463.18
2023,May,Siolim,Ginger,Vegetables,Liters,224.8,87,53,83,57,55,12813.6,12364,-449.6
2023,June,Siolim,Ginger,Vegetables,Liters,234.99,55,90,127,18,18,4229.82,4229.82,0
2023,July,Siolim,Ginger,Vegetables,Liters,223.62,18,41,52,7,9,1565.34,2012.58,447.24
2023,August,Siolim,Ginger,Vegetables,Liters,232.82,9,81,66,24,22,5587.68,5122.04,-465.64
2023,September,Siolim,Ginger,Vegetables,Liters,238.43,22,85,32,75,75,17882.25,17882.25,0
2023,October,Siolim,Ginger,Vegetables,Liters,224.52,75,58,75,58,58,13022.16,13022.16,0
2023,November,Siolim,Ginger,Vegetables,Liters,233.24,58,89,124,23,24,5364.52,5597.76,233.24
2023,December,Siolim,Ginger,Vegetables,Liters,221.99,24,64,37,51,51,11321.49,11321.49,0
2024,January,Siolim,Ginger,Vegetables,Liters,232.14,51,52,66,37,37,8589.18,8589.18,0
2024,February,Siolim,Ginger,Vegetables,Liters,222.93,37,85,46,76,74,16942.68,16496.82,-445.86
2024,March,Siolim,Ginger,Vegetables,Liters,224.01,74,38,37,75,75,16800.75,16800.75,0
2024,April,Siolim,Ginger,Vegetables,Liters,220.35,75,85,119,41,39,9034.35,8593.65,-440.7
2024,May,Siolim,Ginger,Vegetables,Liters,235.27,39,92,77,54,56,12704.58,13175.12,470.54
2024,June,Siolim,Ginger,Vegetables,Liters,240.61,56,69,38,87,87,20933.07,20933.07,0
2024,July,Siolim,Ginger,Vegetables,Liters,240.5,87,42,49,80,80,19240,19240,0
2024,August,Siolim,Ginger,Vegetables,Liters,236.84,80,92,158,14,12,3315.76,2842.08,-473.68
2024,September,Siolim,Ginger,Vegetables,Liters,227.62,12,69,67,14,14,3186.68,3186.68,0
2024,October,Siolim,Ginger,Vegetables,Liters,225.53,14,59,43,30,31,6765.9,6991.43,225.53
2024,November,Siolim,Ginger,Vegetables,Liters,222.64,31,91,56,66,64,14694.24,14248.96,-445.28
2024,December,Siolim,Ginger,Vegetables,Liters,234.5,64,75,95,44,44,10318,10318,0
2022,January,Baga,Garlic,Vegetables,Liters,463.17,63,92,96,59,60,27327.03,27790.2,463.17
2022,February,Baga,Garlic,Vegetables,Liters,450.91,60,76,73,63,65,28407.33,29309.15,901.82
2022,March,Baga,Garlic,Vegetables,Liters,446.96,65,44,90,19,17,8492.24,7598.32,-893.92
2022,April,Baga,Garlic,Vegetables,Liters,459.17,17,72,26,63,63,28927.71,28927.71,0
2022,May,Baga,Garlic,Vegetables,Liters,461.81,63,95,117,41,41,18934.21,18934.21,0
2022,June,Baga,Garlic,Vegetables,Liters,464.41,41,32,20,53,55,24613.73,25542.55,928.82
2022,July,Baga,Garlic,Vegetables,Liters,440.81,55,75,51,79,77,34823.99,33942.37,-881.62
2022,August,Baga,Garlic,Vegetables,Liters,470.26,77,97,54,120,120,56431.2,56431.2,0
2022,September,Baga,Garlic,Vegetables,Liters,457.18,120,42,161,1,1,457.18,457.18,0
2022,October,Baga,Garlic,Vegetables,Liters,443.56,1,51,47,5,5,2217.8,2217.8,0
2022,November,Baga,Garlic,Vegetables,Liters,451.24,5,58,56,7,7,3158.68,3158.68,0
2022,December,Baga,Garlic,Vegetables,Liters,447.74,7,31,37,1,2,447.74,895.48,447.74
2023,January,Baga,Garlic,Vegetables,Liters,445.64,2,93,71,24,23,10695.36,10249.72,-445.64
2023,February,Baga,Garlic,Vegetables,Liters,444.85,23,89,29,83,83,36922.55,36922.55,0
2023,March,Baga,Garlic,Vegetables,Liters,449.07,83,35,100,18,19,8083.26,8532.33,449.07
2023,April,Baga,Garlic,Vegetables,Liters,457.25,19,57,61,15,14,6858.75,6401.5,-457.25
2023,May,Baga,Garlic,Vegetables,Liters,435.9,14,51,47,18,20,7846.2,8718,871.8
2023,June,Baga,Garlic,Vegetables,Liters,440.06,20,63,51,32,31,14081.92,13641.86,-440.06
2023,July,Baga,Garlic,Vegetables,Liters,462.7,31,48,39,40,38,18508,17582.6,-925.4
2023,August,Baga,Garlic,Vegetables,Liters,444.73,38,33,51,20,20,8894.6,8894.6,0
2023,September,Baga,Garlic,Vegetables,Liters,468.39,20,90,57,53,54,24824.67,25293.06,468.39
2023,October,Baga,Garlic,Vegetables,Liters,467.93,54,69,100,23,22,10762.39,10294.46,-467.93
2023,November,Baga,Garlic,Vegetables,Liters,428.53,22,71,21,72,72,30854.16,30854.16,0
2023,December,Baga,Garlic,Vegetables,Liters,452.52,72,46,89,29,29,13123.08,13123.08,0
2024,January,Baga,Garlic,Vegetables,Liters,468.48,29,98,58,69,71,32325.12,33262.08,936.96
2024,February,Baga,Garlic,Vegetables,Liters,439.67,71,50,51,70,69,30776.9,30337.23,-439.67
2024,March,Baga,Garlic,Vegetables,Liters,442.83,69,99,65,103,103,45611.49,45611.49,0
2024,April,Baga,Garlic,Vegetables,Liters,436.5,103,77,26,154,154,67221,67221,0
2024,May,Baga,Garlic,Vegetables,Liters,470.59,154,73,127,100,102,47059,48000.18,941.18
2024,June,Baga,Garlic,Vegetables,Liters,468.85,102,72,62,112,114,52511.2,53448.9,937.7
2024,July,Baga,Garlic,Vegetables,Liters,437.4,114,95,105,104,104,45489.6,45489.6,0
2024,August,Baga,Garlic,Vegetables,Liters,458.03,104,47,116,35,35,16031.05,16031.05,0
2024,September,Baga,Garlic,Vegetables,Liters,453.3,35,59,20,74,76,33544.2,34450.8,906.6
2024,October,Baga,Garlic,Vegetables,Liters,461.3,76,58,85,49,49,22603.7,22603.7,0
2024,November,Baga,Garlic,Vegetables,Liters,464.51,49,48,85,12,12,5574.12,5574.12,0
2024,December,Baga,Garlic,Vegetables,Liters,430.05,12,60,23,49,49,21072.45,21072.45,0
2022,January,Panaji,Garlic,Vegetables,Liters,445.77,79,49,53,75,75,33432.75,33432.75,0
2022,February,Panaji,Garlic,Vegetables,Liters,431.15,75,56,49,82,80,35354.3,34492,-862.3
2022,March,Panaji,Garlic,Vegetables,Liters,446.68,80,84,132,32,32,14293.76,14293.76,0
2022,April,Panaji,Garlic,Vegetables,Liters,446.33,32,82,95,19,19,8480.27,8480.27,0
2022,May,Panaji,Garlic,Vegetables,Liters,445.26,19,76,44,51,51,22708.26,22708.26,0
2022,June,Panaji,Garlic,Vegetables,Liters,455.08,51,41,71,21,21,9556.68,9556.68,0
2022,July,Panaji,Garlic,Vegetables,Liters,440.6,21,89,73,37,37,16302.2,16302.2,0
2022,August,Panaji,Garlic,Vegetables,Liters,469.19,37,49,24,62,60,29089.78,28151.4,-938.38
2022,September,Panaji,Garlic,Vegetables,Liters,428.86,60,85,51,94,94,40312.84,40312.84,0
2022,October,Panaji,Garlic,Vegetables,Liters,428.1,94,77,26,145,146,62074.5,62502.6,428.1
2022,November,Panaji,Garlic,Vegetables,Liters,467.34,146,47,185,8,10,3738.72,4673.4,934.68
2022,December,Panaji,Garlic,Vegetables,Liters,454.93,10,94,36,68,67,30935.24,30480.31,-454.93
2023,January,Panaji,Garlic,Vegetables,Liters,452.49,67,67,111,23,23,10407.27,10407.27,0
2023,February,Panaji,Garlic,Vegetables,Liters,436.88,23,71,27,67,68,29270.96,29707.84,436.88
2023,March,Panaji,Garlic,Vegetables,Liters,428.8,68,38,76,30,30,12864,12864,0
2023,April,Panaji,Garlic,Vegetables,Liters,454.28,30,96,121,5,5,2271.4,2271.4,0
2023,May,Panaji,Garlic,Vegetables,Liters,464.67,5,33,27,11,10,5111.37,4646.7,-464.67
2023,June,Panaji,Garlic,Vegetables,Liters,454.77,10,42,36,16,16,7276.32,7276.32,0
2023,July,Panaji,Garlic,Vegetables,Liters,448.48,16,33,46,3,2,1345.44,896.96,-448.48
2023,August,Panaji,Garlic,Vegetables,Liters,426.32,2,60,47,15,13,6394.8,5542.16,-852.64
2023,September,Panaji,Garlic,Vegetables,Liters,465.26,13,78,21,70,71,32568.2,33033.46,465.26
2023,October,Panaji,Garlic,Vegetables,Liters,444.2,71,57,26,102,101,45308.4,44864.2,-444.2
2023,November,Panaji,Garlic,Vegetables,Liters,466.35,101,39,131,9,7,4197.15,3264.45,-932.7
2023,December,Panaji,Garlic,Vegetables,Liters,441.92,7,76,41,42,42,18560.64,18560.64,0
2024,January,Panaji,Garlic,Vegetables,Liters,440.58,42,48,28,62,62,27315.96,27315.96,0
